title,color_breif,fullPrice,currentPrice,publish_date
Nike Go FlyEase,Black/White,114.95,114.95,2022-09-13T08:44:00.000Z
Nike Air Force 1 '07,White/White,109.95,109.95,2020-07-20T22:00:00.000Z
Nike Air Force 1 '07,White/White/Wolf Grey,109.95,109.95,2022-12-16T08:00:00.000Z
Nike Dunk Low,Midnight Navy/Summit White/White/Light Smoke Grey,109.95,109.95,2023-01-30T15:26:00.000Z
Nike Air Max Plus,Black/Black/Black,169.95,169.95,2012-06-30T22:00:00.000Z
Nike Air Max Alpha Trainer 5,Black/Black/White,72.95,51.47,2022-06-29T12:48:00.000Z
Nike Air Max Excee,Black/Dark Grey/Black,109.95,54.97,2022-11-01T08:00:00.000Z
Nike Air Force 1 '07,White/Picante Red/Wolf Grey,114.95,114.95,2023-01-03T08:00:00.000Z
Nike Dunk Low By You,Multi-Colour/Multi-Colour,114.95,114.95,2022-03-01T17:00:00.000Z
Nike Dunk Low By You,Multi-Colour/Multi-Colour,114.95,114.95,2022-03-01T17:00:00.000Z
Nike Air Force 1 '07,White/Black,109.95,109.95,2022-10-19T12:44:00.000Z
Nike Dunk Low Retro SE,Light Orewood Brown/Light Orewood Brown/University Red/Pale Ivory,109.95,109.95,2023-01-23T00:00:00.000Z
Nike Waffle One,Black/White/Orange/Black,89.95,44.97,2021-05-20T07:00:00.000Z
Nike Air Max Plus 3,Black/Smoke Grey/White,179.95,125.97,2022-12-26T08:00:00.000Z
Nike Air Max Plus Utility,Wolf Grey/Cool Grey/Varsity Maize/Black,179.95,179.95,2023-02-16T08:00:00.000Z
Nike Dunk Low Retro,White/White/Pure Platinum,99.95,99.95,2023-01-30T15:25:00.000Z
Nike Air Max TW Next Nature,Black/Iron Grey/White/Baltic Blue,144.95,86.97,2023-02-02T08:00:00.000Z
Nike Air Max Terrascape Plus,Black/Anthracite/Black/Anthracite,179.95,179.95,2022-12-26T08:00:00.000Z
Nike Dunk High Retro,Blue Chill/White/Amarillo/Blue Chill,109.95,109.95,2022-12-08T14:12:00.000Z
Air Jordan 1 Low,True Blue/White/Cement Grey,109.95,109.95,2023-01-17T08:00:00.000Z
Air Jordan 1 Low SE,White/Black,114.95,114.95,2023-02-20T15:00:00.000Z
Nike Air Force 1 '07,Black/Wolf Grey/Metallic Silver,114.95,114.95,2023-01-05T08:00:00.000Z
Air Jordan 1 Mid,White/Obsidian/Metallic Gold,114.95,114.95,2023-01-16T00:00:00.000Z
Nike Air Force 1 '07,Light Smoke Grey/Summit White/White/Midnight Navy,114.95,114.95,2023-01-31T08:00:00.000Z
Nike Zoom Rival,Black/Light Smoke Grey/Dark Smoke Grey/Metallic Silver,69.95,69.95,2023-03-21T08:00:00.000Z
Nike Zoom Mercurial Vapor 15 Academy TF,Black/Summit White/Volt/Dark Smoke Grey,74.95,74.95,2022-12-16T08:00:00.000Z
NikeCourt Legacy,Black/White,69.95,41.97,2022-03-28T09:30:00.000Z
Nike Air Max 95 By You,Multi-Colour/Multi-Colour/Multi-Colour/Multi-Colour,179.95,179.95,2022-06-07T16:00:00.000Z
Nike Zoom Mercurial Superfly 9 Pro FG,Yellow Strike/Doll/Coconut Milk/Sunset Glow,144.95,72.47,2022-09-01T12:20:00.000Z
Nike Wearallday,White/Black,69.95,69.95,2021-12-14T14:34:00.000Z
Nike Air Penny 2,Black/White/Football Grey/Multi-Colour,169.95,169.95,2023-02-09T10:44:00.000Z
Nike Gripknit Phantom GX Elite FG By You,Volt/Volt,259.95,259.95,2023-01-17T17:00:00.000Z
Nike Air Presto,Black/White/Black,119.95,119.95,2021-02-15T08:00:00.000Z
